id,lat,long,name,address,category,zip,phone,closed
ChIJ2ZXz2xtm0FQRgeg37d6jGLM,41.770273,-124.1996319,High Tide Vapes,1329 Northcrest Dr Crescent City CA 95531 USA,store point_of_interest establishment,Google,707464-7435,True
ChIJW7EPKARX0VQR-XIQ22tYNi4,40.857374,-124.0720431,Ω Divine Tribe Ω,56 Sunnybrae Center Arcata CA 95521 USA,store point_of_interest establishment,Google,707709-8480,True
